SalePrice,OverallQual,GrLivArea,GarageCars,TotalBsmtSF,FullBath,YearBuilt,FireplaceQu,LotFrontage
208500,7,1710,2,856,2,2003,,65.0
181500,6,1262,2,1262,2,1976,TA,80.0
223500,7,1786,2,920,2,2001,TA,68.0
140000,7,1717,3,756,1,1915,Gd,60.0
250000,8,2198,3,1145,2,2000,TA,84.0
143000,5,1362,2,796,1,1993,,85.0
307000,8,1694,2,1686,2,2004,Gd,75.0
200000,7,2090,2,1107,2,1973,TA,
129900,7,1774,2,952,2,1931,TA,51.0
118000,5,1077,1,991,1,1939,TA,50.0
129500,5,1040,1,1040,1,1965,,70.0
345000,9,2324,3,1175,3,2005,Gd,85.0
144000,5,912,1,912,1,1962,,
279500,7,1494,3,1494,2,2006,Gd,91.0
157000,6,1253,1,1253,1,1960,Fa,
132000,7,854,2,832,1,1929,,51.0
149000,6,1004,2,1004,1,1970,TA,
90000,4,1296,2,0,2,1967,,72.0
159000,5,1114,2,1114,1,2004,,66.0
139000,5,1339,1,1029,1,1958,,70.0
325300,8,2376,3,1158,3,2005,Gd,101.0
139400,7,1108,1,637,1,1930,Gd,57.0
230000,8,1795,2,1777,2,2002,Gd,75.0
129900,5,1060,2,1040,1,1976,TA,44.0
154000,5,1060,1,1060,1,1968,TA,
256300,8,1600,3,1566,2,2007,Gd,110.0
134800,5,900,2,900,1,1951,,60.0
306000,8,1704,3,1704,2,2007,Gd,98.0
207500,5,1600,1,1484,1,1957,Gd,47.0
68500,4,520,1,520,1,1927,,60.0
40000,4,1317,1,649,1,1920,,50.0
149350,5,1228,1,1228,1,1966,,
179900,8,1234,2,1234,2,2007,,85.0
165500,5,1700,2,1398,1,1959,Gd,70.0
277500,9,1561,2,1561,2,2005,Gd,60.0
309000,8,2452,3,1117,3,2004,Gd,108.0
145000,5,1097,2,1097,1,1994,,112.0
153000,5,1297,2,1297,1,1954,TA,74.0
109000,5,1057,1,1057,1,1953,,68.0
82000,4,1152,0,0,2,1955,,65.0
160000,6,1324,2,1088,2,1965,TA,84.0
170000,5,1328,1,1350,1,1959,Gd,115.0
144000,5,884,2,840,1,1983,,
130250,5,938,1,938,1,1975,,
141000,5,1150,1,1150,1,1959,,70.0
319900,9,1752,2,1752,2,2005,Gd,61.0
239686,7,2149,2,1434,1,2003,Ex,48.0
249700,8,1656,3,1656,2,2006,,84.0
113000,4,1452,0,736,2,1920,,33.0
127000,5,955,1,955,1,1966,,66.0
177000,6,1470,2,794,2,1997,,
114500,6,1176,2,816,1,1934,Gd,52.0
110000,5,816,2,816,1,1963,,110.0
385000,9,1842,3,1842,0,1981,Gd,68.0
130000,5,1360,2,384,1,1955,TA,60.0
180500,6,1425,2,1425,2,1964,Gd,100.0
172500,8,1739,2,970,2,1999,,24.0
196500,7,1720,2,860,2,2004,,89.0
438780,10,2945,3,1410,3,2006,Gd,66.0
124900,5,780,1,780,1,1972,,60.0
158000,6,1158,2,1158,1,2004,,63.0
101000,5,1111,1,530,1,1920,,60.0
202500,8,1370,2,1370,2,2006,Gd,44.0
140000,7,1710,2,576,2,1921,,50.0
219500,7,2034,2,1057,2,1997,,
317000,8,2473,3,1143,2,2004,Gd,76.0
180000,7,2207,2,1947,2,1970,Gd,
226000,7,1479,2,1453,2,2003,,72.0
80000,4,747,1,747,1,1945,,47.0
225000,7,2287,2,1304,2,1953,TA,81.0
244000,7,2223,2,2223,2,1973,Gd,95.0
129500,4,845,2,845,1,1982,,69.0
185000,7,1718,2,832,2,1998,TA,74.0
144900,5,1086,2,1086,1,1954,,85.0
107400,3,1605,1,840,2,1915,,60.0
91000,4,988,1,462,1,1973,,21.0
135750,4,952,1,952,1,1956,,
127000,5,1285,1,672,1,1948,,50.0
136500,4,1768,0,1768,2,1968,,72.0
110000,5,1230,2,440,1,1910,,60.0
193500,6,2142,1,896,2,1968,Gd,100.0
153500,6,1337,2,1237,2,1998,,32.0
245000,8,1563,3,1563,2,2007,Gd,78.0
126500,5,1065,2,1065,1,1960,,80.0
168500,7,1474,2,384,2,1995,TA,
260000,8,2417,2,1288,2,1991,TA,121.0
174000,6,1560,2,684,2,2005,Gd,122.0
164500,6,1224,2,612,2,2009,,40.0
85000,3,1526,0,1013,1,1915,,105.0
123600,4,990,0,990,1,1994,,60.0
109900,4,1040,2,0,1,1950,,60.0
98600,5,1235,2,1235,1,1961,,85.0
163500,5,964,2,876,1,1921,,80.0
133900,6,2291,2,1214,2,1910,Gd,60.0
204750,6,1786,2,824,2,1997,,69.0
185000,6,1470,2,680,2,1993,TA,
214000,7,1588,2,1588,2,1999,,78.0
94750,4,960,1,960,1,1965,,73.0
83000,5,835,1,458,1,1920,,85.0
128950,4,1225,0,950,1,1959,,77.0
205000,6,1610,2,1610,2,1977,TA,
178000,6,1732,2,741,2,1985,TA,77.0
118964,5,1535,2,0,2,1979,,64.0
198900,7,1226,3,1226,2,2009,,94.0
169500,7,1818,1,1040,1,1931,TA,
250000,8,1992,2,1053,2,2003,Gd,75.0
100000,4,1047,1,641,1,1885,,60.0
115000,5,789,1,789,1,1948,,50.0
115000,5,1517,0,793,2,1919,,85.0
190000,6,1844,2,1844,2,1977,TA,105.0
136900,6,1855,1,994,2,1954,,75.0
180000,7,1430,2,384,2,2000,TA,
383970,7,2696,3,1264,2,2007,Gd,77.0
217000,6,2259,2,1809,2,1953,Gd,
259500,6,2320,1,1028,2,1945,TA,61.0
176000,6,1458,2,729,2,1999,Fa,34.0
139000,5,1092,1,1092,1,1962,Po,
