default,amount,interest,grade,years,ownership,income,age
0,5000,10.65,B,10.0,RENT,24000.0,33
0,2400,10.99,C,25.0,RENT,12252.0,31
0,10000,13.49,C,13.0,RENT,49200.0,24
0,5000,10.99,A,3.0,RENT,36000.0,39
0,3000,10.99,E,9.0,RENT,48000.0,24
0,12000,12.69,B,11.0,OWN,75000.0,28
1,9000,13.49,C,0.0,RENT,30000.0,22
0,3000,9.91,B,3.0,RENT,15000.0,22
1,10000,10.65,B,3.0,RENT,100000.0,28
0,1000,16.29,D,0.0,RENT,28000.0,22
0,10000,10.99,C,4.0,RENT,42000.0,23
0,3600,6.03,A,13.0,MORTGAGE,110000.0,27
0,6000,10.99,B,1.0,MORTGAGE,84000.0,30
0,9200,6.03,A,6.0,RENT,77385.19,24
1,21000,12.42,B,17.0,RENT,105000.0,29
0,10000,11.71,B,13.0,OWN,50000.0,23
0,10000,11.71,B,5.0,RENT,50000.0,22
1,6000,11.71,B,1.0,RENT,76000.0,31
0,15000,9.91,B,2.0,MORTGAGE,92000.0,23
1,15000,14.27,C,9.0,RENT,60000.0,30
0,4000,11.71,B,19.0,MORTGAGE,106000.0,27
0,8500,11.71,B,0.0,RENT,25000.0,24
0,4375,7.51,A,7.0,MORTGAGE,17108.0,38
0,31825,7.9,A,5.0,MORTGAGE,75000.0,23
0,5000,8.9,A,2.0,RENT,24044.0,22
0,7000,15.96,C,7.0,RENT,34000.0,27
0,12400,10.65,B,18.0,RENT,41000.0,36
0,10800,9.91,B,2.0,RENT,55596.0,35
0,15000,7.9,A,1.0,RENT,45000.0,23
0,6000,12.42,B,1.0,RENT,36852.0,25
0,9600,7.51,A,4.0,RENT,68004.0,22
0,12000,7.9,A,15.0,RENT,62300.0,25
0,3000,18.25,D,9.0,MORTGAGE,65000.0,26
0,4400,16.77,D,17.0,RENT,55000.0,24
0,6000,6.03,A,17.0,MORTGAGE,45600.0,21
0,14000,10.99,B,6.0,RENT,80000.0,26
1,5000,8.9,A,17.0,MORTGAGE,100000.0,27
0,10000,10.65,B,6.0,RENT,27000.0,23
0,10000,10.99,A,11.0,RENT,60000.0,37
0,11000,6.62,A,5.0,RENT,70000.0,26
1,15000,9.91,B,8.0,MORTGAGE,80000.0,26
0,25600,10.99,B,9.0,RENT,110000.0,29
0,7000,10.65,B,0.0,RENT,40000.0,22
1,12000,15.96,C,4.0,RENT,50000.0,29
0,12000,9.91,B,1.0,RENT,46000.0,38
0,10000,12.42,B,0.0,OWN,39000.0,33
0,10000,10.65,B,2.0,RENT,51400.0,23
0,7100,16.77,D,1.0,MORTGAGE,33000.0,29
0,8000,10.99,D,0.0,RENT,62000.0,29
0,3500,10.65,B,7.0,MORTGAGE,55000.0,33
0,16425,14.27,C,4.0,RENT,44544.0,27
0,15000,14.65,C,2.0,OWN,61000.0,25
1,6400,16.77,D,5.0,RENT,75000.0,35
0,3000,13.49,C,1.0,RENT,33600.0,27
