loan_amnt,int_rate,grade,emp_length,home_ownership,annual_inc,age
5275,12.53,C,0,RENT,50000,31
25000,11.49,B,8,MORTGAGE,51000,29
10000,8.63,A,2,RENT,30000,31
10000,10.95,B,0,RENT,50000,26
3000,11.83,B,2,RENT,72000,30
16400,10.99,B,3,RENT,61000,24
16000,12.73,C,16,MORTGAGE,79000,23
2500,9.99,B,2,MORTGAGE,40000,24
1800,8.49,A,,RENT,22584,26
4800,11.11,B,26,RENT,69000,29
5500,7.14,A,12,RENT,50000,22
15000,,C,1,RENT,48000,26
1500,7.29,A,0,RENT,9600,22
10000,12.87,C,9,MORTGAGE,82000,22
4500,7.14,A,3,RENT,32640,28
12000,10.59,B,,RENT,210000,23
6000,16.2,E,3,RENT,65100,22
14000,12.99,C,1,RENT,66000,23
6000,,A,17,MORTGAGE,39600,37
15000,12.99,C,5,RENT,62000,32
13000,11.83,B,3,MORTGAGE,107004,36
4000,10.65,B,13,MORTGAGE,90000,23
4500,7.49,A,15,MORTGAGE,66000,21
12000,9.63,A,0,RENT,204000,31
8000,15.23,C,9,RENT,50004,28
14000,12.21,B,0,RENT,50004,24
14950,6.62,A,3,RENT,165000,25
15000,10.62,B,14,MORTGAGE,86000,28
5000,8,A,3,MORTGAGE,119000,64
25000,15.7,D,15,RENT,79631,24
3500,,A,0,RENT,30000,21
11300,13.22,C,8,RENT,41892,26
8875,7.51,A,1,RENT,30000,25
10000,,A,4,MORTGAGE,33996,33
4000,17.27,D,4,RENT,43200,27
5075,12.54,C,7,RENT,20000,31
3500,7.88,A,3,MORTGAGE,48000,37
10000,13.24,D,5,MORTGAGE,58000,25
20000,16.7,E,2,MORTGAGE,78000,35
4750,10.25,B,1,RENT,14040,26
2500,7.4,A,0,RENT,25000,31
21000,11.71,B,5,RENT,285000,34
5500,5.99,A,,MORTGAGE,45000,22
12000,11.11,B,6,RENT,53000,24
20000,12.21,B,1,MORTGAGE,167300,23
3900,14.35,C,7,MORTGAGE,67320,22
25000,10.25,B,27,MORTGAGE,110000,22
13000,9.99,B,6,RENT,60000,22
8400,12.42,B,11,RENT,50400,32
18000,10.99,B,4,RENT,81972,28
4800,7.14,A,4,RENT,62000,24
6000,15.99,D,4,RENT,20000,35
8000,7.74,A,0,RENT,50000,24
8000,13.72,C,0,RENT,28800,22
10000,13.23,C,2,RENT,38400,21
15000,7.49,A,3,MORTGAGE,60000,22
10000,10.59,B,,OWN,20856,24
5000,13.99,C,2,RENT,60000,24
7000,13.72,C,4,RENT,27000,29
10800,9.91,B,2,RENT,55596,35
10000,11.71,B,5,RENT,50000,22
3200,8,A,1,RENT,43000,30
15000,13.11,C,3,MORTGAGE,80000,44
22250,,B,6,MORTGAGE,135000,33
1500,9.62,B,11,MORTGAGE,63000,36
12000,16.29,D,5,MORTGAGE,80000,26
10000,7.49,A,2,MORTGAGE,28800,22
6000,,B,0,RENT,32000,28
8000,10.37,B,8,MORTGAGE,60000,48
5000,14.11,D,4,RENT,159996,25
8000,10.99,B,2,RENT,130000,34
10200,15.21,D,13,RENT,50004,22
24000,11.83,B,0,MORTGAGE,75000,22
30000,9.91,B,2,MORTGAGE,750000,32
3200,10.74,B,4,RENT,63996,33
2500,7.68,A,1,MORTGAGE,32000,25
2000,8,A,2,MORTGAGE,100000,27
21000,18.79,E,0,RENT,150000,34
9500,7.29,A,12,MORTGAGE,48152,23
7200,20.89,F,0,MORTGAGE,88800,23
15000,12.42,B,7,RENT,72000,25
2400,,C,5,RENT,45000,29
2000,5.42,A,12,OWN,94500,26
15000,13.49,C,0,RENT,80000,28
5000,11.14,B,16,OWN,80000,27
10000,,B,3,RENT,35364,21
10000,8.49,A,6,RENT,80000,22
24175,11.11,B,9,MORTGAGE,95000,23
10000,6.03,A,14,MORTGAGE,55000,43
10000,9.99,B,1,MORTGAGE,51000,32
3000,7.66,A,11,MORTGAGE,50000,24
5000,13.17,D,0,RENT,60000,27
10000,,A,,MORTGAGE,120000,23
17000,10.51,B,2,MORTGAGE,120000,40
3000,,C,4,RENT,75000,24
9500,7.49,A,16,MORTGAGE,55000,22
7000,11.14,B,2,RENT,38500,23
6400,7.49,A,0,RENT,32000,43
7000,12.53,C,1,RENT,41000,24
16750,10.99,B,15,MORTGAGE,42000,49
6000,13.79,C,4,MORTGAGE,120000,27
3950,6.92,A,1,RENT,45000,22
13000,6.03,A,1,MORTGAGE,94000,23
7000,7.9,A,13,MORTGAGE,75000,24
15000,10.99,B,4,RENT,40000,26
12000,6.62,A,8,MORTGAGE,92000,29
11700,13.06,C,6,RENT,35000,31
25000,13.49,C,2,RENT,250000,25
10000,10.74,B,21,RENT,50000,28
3500,11.86,B,42,RENT,48000,33
20000,10.59,B,13,MORTGAGE,70000,25
25000,21.27,G,18,MORTGAGE,150000,33
25000,11.36,B,3,MORTGAGE,145000,25
13000,7.14,A,6,MORTGAGE,137720,27
11500,15.31,D,2,RENT,34500,21
2500,18.78,F,0,RENT,65000,39
10000,9.91,B,6,RENT,80000,34
10000,10.99,B,4,RENT,95000,23
9000,9.64,B,4,MORTGAGE,112000,25
12100,,B,1,RENT,105000,26
3000,7.51,A,7,MORTGAGE,105996,24
12250,12.73,C,13,MORTGAGE,50000,36
15000,7.9,A,1,RENT,35000,29
35000,15.99,D,11,MORTGAGE,97000,23
6000,12.99,C,19,MORTGAGE,42000,22
10000,,B,11,MORTGAGE,89000,38
4000,10.75,B,0,MORTGAGE,65000,37
6400,15.62,D,0,RENT,38000,34
10000,11.99,B,11,MORTGAGE,192000,35
8950,11.89,B,2,MORTGAGE,70000,24
2500,11.83,B,5,OWN,184000,23
15000,11.49,B,13,MORTGAGE,71500,28
8000,15.05,D,13,OTHER,27048,25
6000,11.83,B,4,MORTGAGE,200000,30
