loan_amnt,int_rate,grade,emp_length,home_ownership,annual_inc,age,default,default_amount
5750,,D,1,OTHER,16000,27,0,0
7500,12.22,C,8,MORTGAGE,55000,27,1,4560
19000,11.99,B,4,RENT,47000,25,0,0
24000,9.91,B,3,MORTGAGE,50400,26,0,0
25000,10.62,B,8,MORTGAGE,156600,32,0,0
6000,10.99,B,1,RENT,17376,26,0,0
5000,9.91,B,2,RENT,25000,30,1,3598
2100,5.42,A,33,MORTGAGE,35000,23,1,891
19200,15.21,D,3,RENT,55000,23,1,11216
10000,,A,3,MORTGAGE,69960,27,1,5788
11325,12.69,B,7,RENT,36000,25,0,0
7600,8.49,A,9,RENT,18000,28,1,3204
6000,9.32,A,2,RENT,41000,27,0,0
6500,6.17,A,4,MORTGAGE,48000,22,0,0
7500,,A,2,RENT,60000,36,1,3884
5000,14.11,D,4,RENT,159996,25,1,2717
4200,13.11,C,8,RENT,15000,24,0,0
15000,12.53,C,9,MORTGAGE,141000,43,0,0
15000,,B,14,RENT,48000,25,0,0
2000,5.42,A,27,MORTGAGE,42500,25,1,843
8000,11.36,B,2,OWN,55000,40,1,3953
7500,,B,3,RENT,75000,28,0,0
7200,,A,26,MORTGAGE,61200,22,1,3326
2000,16,E,0,RENT,24000,24,1,1055
5600,15.27,C,0,RENT,85000,45,1,3203
5125,5.99,A,5,RENT,60000,21,1,3034
6250,7.51,A,15,MORTGAGE,38484,22,1,2701
2000,13.16,C,3,RENT,25000,32,1,902
3200,11.71,B,17,RENT,60000,22,1,1839
4000,11.12,B,,RENT,15708,22,0,0
9000,6.03,A,5,RENT,65000,24,0,0
10625,6.62,A,0,MORTGAGE,40000,29,1,4912
8000,11.71,B,1,RENT,150000,28,0,0
4000,10.99,B,11,MORTGAGE,55000,29,1,1459
5500,8,A,5,OWN,60400,24,1,2430
3600,7.68,A,3,MORTGAGE,60000,31,0,0
12200,11.36,B,5,OWN,40900,23,1,4553
6000,15.31,D,2,MORTGAGE,30000,32,0,0
8000,13.61,C,0,MORTGAGE,42000,27,1,3575
10000,9.32,A,3,MORTGAGE,94185,36,0,0
6500,5.99,A,10,MORTGAGE,99518.42,28,0,0
6000,,A,9,MORTGAGE,106300,29,0,0
3000,8.49,A,1,RENT,50000,23,0,0
18150,12.68,C,9,MORTGAGE,88000,23,0,0
12000,10.59,B,3,RENT,175000,59,0,0
8000,12.69,B,8,MORTGAGE,120000,22,0,0
4000,13.04,C,3,MORTGAGE,33000,24,1,1751
10000,8.07,A,0,MORTGAGE,173000,26,0,0
10625,8.49,A,0,RENT,62467,24,1,4431
12000,5.42,A,7,MORTGAGE,74700,24,1,5015
6000,12.53,C,3,MORTGAGE,43000,28,1,3137
10000,8.49,A,2,MORTGAGE,45912,28,1,5345
16000,13.49,C,6,MORTGAGE,50000,34,1,8604
7000,6.03,A,5,MORTGAGE,70000,21,0,0
8000,11.14,B,4,MORTGAGE,55000,33,1,3512
24000,7.51,A,9,MORTGAGE,75000,36,0,0
5000,19.47,F,0,MORTGAGE,120000,37,1,3594
8000,15.23,C,4,RENT,95000,25,1,5108
2000,11.49,B,7,MORTGAGE,62000,25,1,1209
4800,7.49,A,3,OWN,28000,33,0,0
16000,14.18,E,7,RENT,51648,32,0,0
4800,13.43,C,1,RENT,31000,30,0,0
10000,18.25,D,0,RENT,85000,22,1,4399
4000,7.66,A,12,RENT,91000,31,1,2283
25000,14.96,D,14,MORTGAGE,75000,22,0,0
1600,7.88,A,0,RENT,35000,23,1,722
4000,11.49,B,0,RENT,33600,31,0,0
24250,12.61,C,3,RENT,36000,30,0,0
13000,13.22,C,5,RENT,35000,25,1,5547
20000,13.48,C,3,MORTGAGE,114400,33,0,0
2100,12.21,B,0,RENT,33500,27,1,1215
6000,15.21,D,,MORTGAGE,36000,28,1,3105
24000,10.99,B,14,RENT,70000,24,0,0
18000,10.38,B,3,MORTGAGE,142000,28,0,0
5000,7.51,A,0,RENT,24000,31,0,0
9250,15.21,D,5,MORTGAGE,75000,22,0,0
1500,13.49,C,3,MORTGAGE,34800,22,0,0
6000,10.59,B,2,RENT,42000,34,0,0
23750,13.47,C,4,RENT,120000,23,0,0
9600,14.65,C,0,RENT,60000,23,0,0
2000,15.65,D,3,MORTGAGE,34800,31,1,934
3000,6.54,A,0,OWN,74004,22,0,0
5000,16.49,D,3,RENT,170000,25,1,2394
3000,13.61,C,0,RENT,65004,23,0,0
16750,13.98,C,20,RENT,39672,34,0,0
10000,12.18,B,21,OWN,85000,26,0,0
3150,15.27,C,5,RENT,53000,36,1,2088
3600,,C,18,MORTGAGE,120000,48,1,1385
3775,11.71,B,6,MORTGAGE,55000,26,0,0
17500,,A,6,MORTGAGE,65000,30,0,0
4000,9.99,B,3,MORTGAGE,62004,26,0,0
3500,,C,4,MORTGAGE,74000,26,1,1353
3000,15.21,D,7,RENT,70000,24,1,1334
10000,,C,9,MORTGAGE,56700,29,0,0
6250,,C,6,OWN,29004,30,0,0
10000,7.88,A,22,MORTGAGE,74000,22,0,0
1200,6.91,A,,RENT,11000,23,0,0
12000,11.71,B,5,RENT,48000,27,1,5533
2000,14.27,C,3,RENT,65000,22,1,998
10000,7.49,A,26,MORTGAGE,85000,27,1,4476
15000,17.49,D,14,RENT,54000,25,1,7269
20000,8.9,A,6,RENT,72000,27,1,9635
24000,14.84,D,3,RENT,62400,22,0,0
18500,15.33,D,2,OWN,60000,23,0,0
4400,11.71,B,5,RENT,37440,33,0,0
6500,8.32,A,18,MORTGAGE,39996,26,0,0
10000,6.03,A,,MORTGAGE,60000,26,1,4488
7000,10.99,B,22,RENT,34482,23,0,0
10000,12.99,C,8,RENT,35238.48,27,1,4558
20000,19.69,E,11,MORTGAGE,160000,24,1,7145
4000,12.99,C,4,OWN,24000,27,1,1816
6000,12.42,B,7,OWN,26000,34,0,0
8000,10.99,B,3,RENT,52000,24,0,0
18000,12.18,B,2,RENT,101500,30,0,0
20000,7.9,A,3,RENT,101000,31,0,0
4800,7.49,A,3,MORTGAGE,200000,39,0,0
5000,12.87,C,0,RENT,39996,25,1,2749
4000,15.65,D,1,OWN,30000,23,1,1928
7200,13.49,C,0,MORTGAGE,114000,34,1,4730
1600,11.48,B,4,RENT,68000,29,0,0
9250,13.79,C,3,MORTGAGE,49500,25,0,0
5325,10.99,B,0,RENT,25000,34,0,0
5000,7.43,A,4,RENT,200000,29,1,2322
8000,16.29,D,4,MORTGAGE,75000,25,1,3250
13000,13.47,C,8,MORTGAGE,80000,28,0,0
8800,10,B,22,MORTGAGE,250000,23,0,0
15000,,D,3,RENT,65000,34,0,0
25000,10.38,B,20,RENT,74400,32,0,0
5000,15.62,D,6,MORTGAGE,59000,24,0,0
25000,10.62,B,3,MORTGAGE,235000,33,1,13840
6000,12.99,C,4,MORTGAGE,78000,23,0,0
8500,15.37,D,9,RENT,29520,23,0,0
1800,11.49,B,12,MORTGAGE,51000,29,1,988
5000,7.4,A,11,OWN,85800,34,0,0
2400,17.27,D,5,RENT,13288,24,0,0
12500,11.48,B,0,RENT,65000,23,0,0
6500,12.99,C,2,MORTGAGE,68000,25,0,0
13000,,A,6,MORTGAGE,79000,27,0,0
8400,11.11,B,4,MORTGAGE,54000,25,1,5865
25000,9.64,B,2,RENT,48000,26,0,0
12000,14.74,D,1,RENT,56100,25,0,0
1000,16.29,D,1,RENT,14400,21,1,454
8000,9.76,B,5,MORTGAGE,40000,22,1,4571
5000,8.94,A,6,RENT,27972,23,0,0
1200,10.74,B,15,MORTGAGE,64000,24,0,0
8200,12.21,B,4,RENT,34000,25,0,0
6000,6.17,A,25,MORTGAGE,72000,23,0,0
15000,6.99,A,,MORTGAGE,61200,32,0,0
1200,7.29,A,0,RENT,14400,24,0,0
10000,10.99,B,1,RENT,145000,26,0,0
7500,12.98,C,1,OWN,30000,28,1,3378
7950,10.99,B,13,RENT,50700,21,0,0
2000,13.22,C,0,RENT,4000,41,0,0
12500,13.43,C,0,MORTGAGE,58000,28,1,6265
10000,7.9,A,4,RENT,66000,29,0,0
9000,15.58,D,11,RENT,59321,27,0,0
18000,10.99,B,3,OWN,76000,23,1,9457
7000,6.99,A,1,OWN,29112,28,0,0
5000,11.71,B,0,RENT,35000,25,0,0
10000,,A,5,MORTGAGE,84000,22,1,3401
1200,6.99,A,12,MORTGAGE,69600,23,0,0
14500,11.58,B,5,RENT,37000,22,1,7286
6000,7.88,A,5,RENT,74970,26,0,0
8000,10.62,B,4,RENT,58033,24,0,0
9600,14.27,C,1,RENT,25000,28,1,5676
9000,9.63,B,8,RENT,75000,23,1,3226
6000,11.48,B,13,MORTGAGE,65000,23,0,0
10000,14.59,D,9,MORTGAGE,62920,22,1,5645
10000,15.65,D,7,MORTGAGE,82500,30,0,0
2000,14.65,C,3,RENT,31200,24,1,1042
4650,13.22,C,5,OWN,28672.8,32,0,0
19000,11.36,B,8,RENT,35000,24,0,0
14000,14.83,D,34,RENT,50000,26,0,0
16000,,A,4,RENT,119000,25,0,0
25000,14.96,D,26,OWN,99996,38,0,0
7750,7.74,A,1,RENT,48000,22,0,0
5000,11.49,B,9,RENT,35000,27,0,0
4075,8.32,A,0,RENT,19200,31,1,2299
24250,17.56,E,0,RENT,90000,26,0,0
2000,6.91,A,15,RENT,35416.56,40,1,1221
25000,9.62,B,3,MORTGAGE,445000,29,0,0
7200,11.71,B,9,RENT,105000,23,0,0
1600,11.89,B,2,RENT,82000,22,1,1060
3800,8.88,B,3,RENT,11000,22,0,0
6000,9.99,B,4,RENT,33000,29,1,2731
1500,12.61,C,,RENT,51600,24,0,0
10000,5.99,A,5,MORTGAGE,62000,29,0,0
6400,,C,3,RENT,30000,23,1,3632
25000,10.37,B,6,RENT,133300,24,0,0
12000,10.37,B,0,RENT,42000,42,0,0
1325,12.87,C,2,RENT,26000,24,1,658
12000,,C,8,MORTGAGE,70000,33,1,6299
14000,15.31,D,7,MORTGAGE,65000,24,0,0
15000,15.28,D,11,OWN,120000,24,1,8831
25000,16.32,D,5,RENT,72000,30,0,0
6000,11.99,B,6,MORTGAGE,40000,26,0,0
5550,9.99,B,2,OWN,38400,26,0,0
1800,13.23,C,0,RENT,40000,26,0,0
14400,7.51,A,3,RENT,51000,23,0,0
14500,7.66,A,,RENT,30000,26,0,0
2000,10.38,B,17,MORTGAGE,96000,24,0,0
2800,11.86,B,2,RENT,50000,34,0,0
16000,8.49,A,6,RENT,65000,22,0,0
6000,14.27,C,14,MORTGAGE,94800,23,0,0
10800,7.49,A,2,RENT,119000,39,0,0
12000,,C,9,MORTGAGE,68000,26,1,5245
10000,,A,12,MORTGAGE,150000,37,1,5245
16000,14.09,D,5,RENT,68000,30,0,0
18000,13.99,C,9,RENT,65000,25,0,0
5000,11.99,B,1,RENT,40000,27,1,2533
7000,11.99,B,2,RENT,40000,22,1,3465
20000,15.62,D,3,MORTGAGE,80000,25,1,7972
15000,6.99,A,3,MORTGAGE,90000,29,0,0
4500,13.43,C,2,RENT,39996,22,0,0
9800,5.99,A,3,MORTGAGE,80000,43,1,4549
6000,6.92,A,8,MORTGAGE,34000,26,1,2307
5275,8.07,A,1,MORTGAGE,55000,24,1,3204
9325,13.62,D,4,RENT,30000,32,0,0
15175,21.74,F,13,RENT,75000,35,1,6290
6000,12.21,B,17,MORTGAGE,130000,30,0,0
2100,,C,4,MORTGAGE,72000,24,0,0
5000,7.75,A,7,MORTGAGE,52000,27,0,0
4000,12.53,C,2,MORTGAGE,52000,27,1,2086
5000,10.75,B,,RENT,12360,21,1,2676
12000,12.42,B,5,RENT,80000,23,0,0
3500,9.62,B,0,RENT,35000,21,0,0
14350,9.99,B,11,MORTGAGE,100000,22,1,7249
6000,5.42,A,29,RENT,86000,22,0,0
4900,13.72,C,0,RENT,21600,25,1,3319
20000,13.85,C,12,RENT,78500,23,0,0
5000,11.14,B,16,OWN,80000,27,1,2265
15000,12.68,C,7,RENT,72000,25,1,6742
4400,11.36,B,2,MORTGAGE,65000,23,0,0
4300,,B,,OWN,85000,22,0,0
6000,15.62,D,5,MORTGAGE,73000,32,0,0
6000,9.32,A,12,MORTGAGE,45000,31,0,0
10000,15.05,D,4,RENT,175000,25,0,0
16000,16.49,D,11,MORTGAGE,100000,30,0,0
2400,12.53,C,6,RENT,21996,22,0,0
13500,11.83,B,0,MORTGAGE,38117,22,0,0
5000,10.65,B,18,RENT,35000,21,0,0
9450,6.62,A,3,RENT,25000,24,1,4626
4000,,A,19,MORTGAGE,48000,26,0,0
12000,14.46,D,14,RENT,92004,24,0,0
6475,6.99,A,4,RENT,92000,23,1,2555
4000,,D,3,MORTGAGE,52200,40,1,1925
14400,7.51,A,2,OWN,61000,42,0,0
10000,5.42,A,10,MORTGAGE,45992,23,0,0
5000,6.99,A,6,RENT,42000,35,1,2520
15000,11.99,B,16,RENT,42300,24,1,8805
20000,7.29,A,7,OWN,34500,29,0,0
18125,14.84,D,10,MORTGAGE,75971.76,38,0,0
2500,14.35,C,7,RENT,73000,29,0,0
12000,12.53,B,12,MORTGAGE,60000,25,1,5626
5000,8.59,A,0,RENT,18000,23,0,0
10000,14.17,C,15,MORTGAGE,144000,37,0,0
12000,8.49,A,4,MORTGAGE,71000,28,0,0
12000,6.62,A,1,RENT,48400,32,0,0
12000,13.16,C,0,RENT,64000,23,1,7171
7200,11.86,B,1,MORTGAGE,45000,23,1,4498
15000,12.87,C,9,MORTGAGE,101416,31,0,0
4000,14.82,C,6,RENT,61260,37,0,0
15000,18.49,D,4,MORTGAGE,45000,29,1,8077
25000,16.07,D,13,OWN,130000,39,0,0
6000,9.63,A,4,MORTGAGE,50000,24,0,0
7500,11.99,B,0,RENT,68000,24,0,0
11100,10.59,B,3,RENT,50000,32,0,0
5100,10.99,B,14,MORTGAGE,58800,22,1,1801
10150,8.49,A,,OWN,33000,26,0,0
5000,10.65,B,3,MORTGAGE,48000,38,1,1961
21000,10.99,B,34,MORTGAGE,44400,29,0,0
4000,6.76,A,1,OWN,63600,22,1,1647
12000,9.91,B,1,RENT,46000,38,0,0
10000,,C,0,MORTGAGE,60000,21,1,4273
12000,9.99,B,14,MORTGAGE,61000,28,0,0
6700,11.83,B,9,MORTGAGE,75744,22,0,0
7000,7.49,A,2,MORTGAGE,36000,26,0,0
6000,10,B,17,OWN,85224,31,1,2732
7000,17.58,D,3,RENT,52800,22,1,4346
10000,11.89,B,1,RENT,45000,25,0,0
7000,7.29,A,3,RENT,32769,22,0,0
4800,12.99,C,12,RENT,41504.4,22,1,2082
15000,9.99,B,12,MORTGAGE,50000,24,1,5788
2000,11.49,B,3,RENT,50000,40,0,0
7500,8.9,A,20,MORTGAGE,150000,25,0,0
15000,10.37,B,3,MORTGAGE,121680,25,0,0
9000,14.72,C,2,RENT,55000,24,1,3902
1500,12.42,B,0,RENT,63000,25,1,559
25000,17.39,E,0,OWN,140000,34,1,14740
7200,10.38,B,9,RENT,21600,26,0,0
1500,10.62,B,9,MORTGAGE,74000,36,1,900
6400,13.11,C,2,RENT,71500,22,1,2976
8000,7.51,A,2,RENT,52000,24,1,4861
14500,,C,3,MORTGAGE,130000,22,0,0
12000,12.69,B,10,RENT,47840,23,1,4623
5600,8,A,0,RENT,26000,22,0,0
12000,7.88,A,9,MORTGAGE,160000,32,0,0
19400,,D,3,MORTGAGE,316800,42,1,10990
6000,9.63,A,0,RENT,65000,23,0,0
6250,10.62,B,0,OWN,18000,21,1,3609
4200,5.42,A,5,MORTGAGE,84000,23,0,0
5000,12.69,B,2,RENT,62400,22,1,3630
1600,13.72,C,0,OWN,16800,34,0,0
16000,14.79,C,2,MORTGAGE,100000,25,0,0
2750,14.84,D,9,RENT,16800,29,0,0
10000,7.51,A,8,OWN,115000,24,1,4021
4800,13.35,C,0,RENT,30000,24,1,2347
7000,14.72,C,3,OWN,66996,22,0,0
16000,19.47,F,2,RENT,64575,24,1,7286
13500,9.99,B,14,MORTGAGE,76000,24,0,0
20000,11.12,B,5,MORTGAGE,140000,32,0,0
20000,11.49,B,14,MORTGAGE,70000,35,0,0
12000,6.62,A,10,MORTGAGE,52000,22,1,5829
9500,10.36,B,1,MORTGAGE,38400,35,1,4080
17400,5.99,A,5,MORTGAGE,56000,24,0,0
25000,7.49,A,3,MORTGAGE,115000,28,0,0
13000,10.99,B,5,MORTGAGE,120000,26,0,0
10000,11.11,B,7,RENT,60000,35,0,0
16000,14.35,C,15,MORTGAGE,82500,23,1,9936
9600,11.71,B,14,RENT,24000,25,0,0
3600,11.49,B,2,RENT,65000,23,0,0
10000,10.75,B,5,RENT,51160,24,1,4961
9000,12.36,D,6,MORTGAGE,85000,23,0,0
4000,11.49,B,1,RENT,51000,38,1,1986
2000,16.89,D,2,RENT,56000,28,0,0
8000,12.21,B,12,MORTGAGE,58560,23,0,0
6000,11.86,B,5,MORTGAGE,48600,23,1,3202
25000,9.99,B,27,MORTGAGE,93000,65,0,0
10000,5.79,A,1,MORTGAGE,60000,29,0,0
5000,5.79,A,1,OWN,20000,29,0,0
8000,7.88,A,10,MORTGAGE,72000,24,1,4002
9000,7.88,A,2,RENT,48000,22,1,4062
18000,10.65,B,16,RENT,63000,28,0,0
7000,14.96,D,0,RENT,82000,23,1,3531
14400,11.71,B,8,RENT,125000,25,1,8262
14000,8.94,A,6,MORTGAGE,60000,24,1,10072
12000,12.61,C,0,RENT,105000,23,1,5964
4000,7.49,A,2,MORTGAGE,100000,28,0,0
6400,9.91,B,3,MORTGAGE,40000,24,1,2967
5000,7.68,A,2,MORTGAGE,120000,29,0,0
6000,6.03,A,17,OWN,50000,28,0,0
2500,,A,2,RENT,51873,23,1,955
6000,10.59,B,8,RENT,30840,41,0,0
6000,11.22,C,6,RENT,49500,27,0,0
2000,9.88,B,5,OWN,12000,44,0,0
10000,13.36,D,2,RENT,60000,22,1,5072
12000,11.89,B,1,MORTGAGE,150000,27,1,5056
4800,,A,2,MORTGAGE,65000,29,1,2365
2700,10.74,B,34,MORTGAGE,66000,23,0,0
10000,6.99,A,0,RENT,68000,24,0,0
